,Control,Trial,,MaxL2FChange,peak,,MCP_9MC2,MCP_11MC2,MCP_12MC2,MCP_14MC2,MCP_15MC2
27af011f1ebcc0867bb168193e6a9d27,25568,25568,1,0,240,27af011f1ebcc0867bb168193e6a9d27,15040,19852.8,41209.6,82720,25568
3e5cc4006667756b128e551a166d5861,5991.3,17086.3,2.851851852,1.511899039,120,3e5cc4006667756b128e551a166d5861,3550.4,2884.7,6435.1,17086.3,3106.6
3fa2974b1f70109275811beb1ae321c9,93863.7,106068.2,1.130023641,0.176352955,72,3fa2974b1f70109275811beb1ae321c9,139797,122488.8,106068.2,68789,8654.1
5c21f017407dbb74aea300b42e85dd30,447.66,447.66,1,0,48,5c21f017407dbb74aea300b42e85dd30,0,447.66,431.08,513.98,0
5ed8f8f3a98e669d81b30c56825e0870,8116.5,1095341,134.952381,7.07630662,240,5ed8f8f3a98e669d81b30c56825e0870,30147,44061,56429,177017,1095341
6310bd545c25bc818bce75d76bc259a1,596.88,596.88,1,0,120,6310bd545c25bc818bce75d76bc259a1,0,0,265.28,596.88,66.32
7af6ae689696e9ea838fbb88ee9afb78,124946.8,124946.8,1,0,120,7af6ae689696e9ea838fbb88ee9afb78,7708.8,45289.2,53961.6,124946.8,0
801efb14d6457f799fd2becee6d07b72,13169.2,104711.2,7.951219512,2.99117615,120,801efb14d6457f799fd2becee6d07b72,26338.4,52998,66809.6,104711.2,94432.8
83c246c4ed456dea2a15d054f16009b3,25516.2,1901141.8,74.50724638,6.21930884,240,83c246c4ed456dea2a15d054f16009b3,138305.2,1418922.6,1247705.2,63975.4,1901141.8
8b1b6b50ee8e9d52ac980948823b441f,198.96,2122.24,10.66666667,3.415037499,120,8b1b6b50ee8e9d52ac980948823b441f,414.5,1326.4,1923.28,2122.24,663.2
98f53519513214e968c569829a1471bb,6070,37148.4,6.12,2.613531653,240,98f53519513214e968c569829a1471bb,6070,9226.4,19666.8,20152.4,37148.4
9d5fa8335722caf15c7501355831afdd,14739.2,14739.2,1,0,120,9d5fa8335722caf15c7501355831afdd,2105.6,2707.2,7520,14739.2,0
a5e4fa1c4fdfceff6877d2ba21ae0b91,22188,22188,1,0,240,a5e4fa1c4fdfceff6877d2ba21ae0b91,0,0,3328.2,7026.2,22188
a6db2d87f1e7a32216e5041a1920f12e,31878,989460,31.03896104,4.956008362,72,a6db2d87f1e7a32216e5041a1920f12e,274482,431388,989460,629280,188370
acc9603a819dc23a606ac6c1b9105b6d,22721.7,1270628.1,55.92134831,5.805327241,240,acc9603a819dc23a606ac6c1b9105b6d,50294.1,137862,257597.7,316061.4,1270628.1
b93f0c1f2e8178c7ce1d957ab357dd77,8605.6,8605.6,1,0,120,b93f0c1f2e8178c7ce1d957ab357dd77,0,0,0,8605.6,3331.2
c1d9eada909d2d5dbe078f25f1038508,6624,72036,10.875,3.442943496,120,c1d9eada909d2d5dbe078f25f1038508,0,18216,60030,72036,24840
cf3381318906e1e08f58bca905636dc0,2593061.6,9920313.6,3.825714592,1.935729249,240,cf3381318906e1e08f58bca905636dc0,4879375.2,6191868,8584780,7801670.4,9920313.6
d94c20c00db235bb6fccc68f06f100c7,7403.7,68675.7,9.275862069,3.213481367,48,d94c20c00db235bb6fccc68f06f100c7,39316.2,68675.7,27317.1,0,0
efbe1f58b1e2984ddc53a64f047d94ff,3654868.4,3143774.4,0.860160765,-0.217321768,24,efbe1f58b1e2984ddc53a64f047d94ff,3143774.4,1186320.8,354973.6,96877.2,24522.8
f1e34308d952529287ada31976faec95,7343.5,16233,2.210526316,1.144389909,240,f1e34308d952529287ada31976faec95,32079.5,47539.5,43288,32466,16233
