"","x"
"1","#59ba35"
"2","#bf281a"
"3","#1cdd20"
"4","#48e274"
"5","#c4034a"
"6","#96dd11"
"7","#e8e35a"
"8","#9b1412"
"9","#ce10a2"
"10","#f2e360"
"11","#c4900b"
"12","#4036b5"
"13","#cad350"
"14","#2b9ba5"
"15","#f72707"
"16","#509cba"
"17","#ed2183"
"18","#c91c3e"
"19","#2c86c1"
"20","#74e83a"
"21","#57b71f"
"22","#7805fc"
"23","#3f849e"
"24","#e539ae"
"25","#4e89ba"
"26","#e5645e"
"27","#c8ce0e"
"28","#e81287"
"29","#83d130"
"30","#fc702f"
"31","#ea2abd"
"32","#552191"
"33","#29d895"
"34","#e2bf66"
"35","#3d64ba"
"36","#341da5"
"37","#52f28a"
"38","#56d895"
"39","#c65001"
"40","#d83e77"
"41","#ef56b7"
"42","#20c98e"
"43","#096182"
"44","#c13659"
"45","#d1e519"
"46","#cd2de5"
"47","#3f1996"
"48","#56f78e"
"49","#ffb71e"
"50","#1a2c93"
"51","#153a91"
"52","#5bc8ff"
"53","#dd6b63"
"54","#d86315"
"55","#d65976"
"56","#f44822"
"57","#ceac48"
"58","#b22130"
"59","#58e268"
"60","#4dcc88"
"61","#6b94f4"
"62","#4e3ab2"
"63","#348909"
"64","#b7782f"
"65","#285aa0"
"66","#af5531"
"67","#50ed9e"
"68","#28bf7d"
"69","#f952b1"
"70","#4c0b77"
"71","#e344ff"
"72","#e05e47"
"73","#d83646"
"74","#21d3b3"
"75","#18a03c"
"76","#9ec407"
"77","#3befe6"
"78","#b75524"
"79","#29e5a6"
"80","#d65222"
"81","#dda02e"
"82","#ed8d55"
"83","#35e88e"
"84","#f4d85a"
"85","#d3c90a"
"86","#e58c10"
"87","#c14144"
"88","#d64fb2"
"89","#61f254"
"90","#2b93a8"
"91","#ce6514"
"92","#681093"
"93","#db0626"
"94","#d83eb7"
"95","#aa0f3e"
"96","#e00690"
"97","#f2e610"
"98","#ea804b"
"99","#f768ff"
"100","#db0626"
"101","#6d1993"
"102","#d63b4d"
"103","#cad108"
"104","#e829cb"
"105","#042560"
"106","#d63aea"
"107","#1de273"
"108","#b7ed44"
"109","#306fe5"
