"","6310bd545c25bc818bce75d76bc259a1","3fa2974b1f70109275811beb1ae321c9","cf3381318906e1e08f58bca905636dc0","98f53519513214e968c569829a1471bb","a5e4fa1c4fdfceff6877d2ba21ae0b91","801efb14d6457f799fd2becee6d07b72","d94c20c00db235bb6fccc68f06f100c7","9d5fa8335722caf15c7501355831afdd","a6db2d87f1e7a32216e5041a1920f12e","f1e34308d952529287ada31976faec95","8b1b6b50ee8e9d52ac980948823b441f","3e5cc4006667756b128e551a166d5861","b93f0c1f2e8178c7ce1d957ab357dd77","efbe1f58b1e2984ddc53a64f047d94ff","83c246c4ed456dea2a15d054f16009b3","7af6ae689696e9ea838fbb88ee9afb78","acc9603a819dc23a606ac6c1b9105b6d","27af011f1ebcc0867bb168193e6a9d27","c1d9eada909d2d5dbe078f25f1038508","5ed8f8f3a98e669d81b30c56825e0870","5c21f017407dbb74aea300b42e85dd30"
"6310bd545c25bc818bce75d76bc259a1",0,0.259511707,0.313355529,0.269961772,0.306531655,0.288894495,0.370171969,0.275307419,0.409888446,0.518079518,0.412709195,0.315519141,0.32601431,0.287237824,0.299268283,0.302169862,0.281425976,0.395029151,0.419802939,0.415829833,0.426483183
"3fa2974b1f70109275811beb1ae321c9",0.259511707,0,0.117388258,0.073994501,0.117335874,0.148132428,0.240017774,0.172626732,0.307207759,0.428493479,0.323123156,0.225933102,0.236428271,0.197651785,0.209682244,0.212583823,0.191839937,0.305443112,0.3302169,0.326243794,0.336897144
"cf3381318906e1e08f58bca905636dc0",0.313355529,0.117388258,0,0.052756673,0.171179696,0.20197625,0.293861596,0.226470554,0.361051581,0.482337301,0.376966978,0.279776924,0.290272093,0.251495607,0.263526066,0.266427645,0.245683759,0.359286934,0.384060722,0.380087616,0.390740966
"98f53519513214e968c569829a1471bb",0.269961772,0.073994501,0.052756673,0,0.127785939,0.158582493,0.250467839,0.183076797,0.317657824,0.438943544,0.333573221,0.236383167,0.246878336,0.20810185,0.220132309,0.223033888,0.202290002,0.315893177,0.340666965,0.336693859,0.347347209
"a5e4fa1c4fdfceff6877d2ba21ae0b91",0.306531655,0.117335874,0.171179696,0.127785939,0,0.195152376,0.287037722,0.21964668,0.354227707,0.475513427,0.370143104,0.27295305,0.283448219,0.244671733,0.256702192,0.259603771,0.238859885,0.35246306,0.377236848,0.373263742,0.383917092
"801efb14d6457f799fd2becee6d07b72",0.288894495,0.148132428,0.20197625,0.158582493,0.195152376,0,0.269400562,0.20200952,0.336590547,0.457876267,0.352505944,0.25531589,0.265811059,0.227034573,0.239065032,0.241966611,0.221222725,0.3348259,0.359599688,0.355626582,0.366279932
"d94c20c00db235bb6fccc68f06f100c7",0.370171969,0.240017774,0.293861596,0.250467839,0.287037722,0.269400562,0,0.283286994,0.417868021,0.539153741,0.433783418,0.336593364,0.347088533,0.308312047,0.320342506,0.323244085,0.302500199,0.416103374,0.440877162,0.436904056,0.447557406
"9d5fa8335722caf15c7501355831afdd",0.275307419,0.172626732,0.226470554,0.183076797,0.21964668,0.20200952,0.283286994,0,0.296242985,0.444289191,0.338918868,0.241728814,0.252223983,0.213447497,0.225477956,0.228379535,0.207635649,0.321238824,0.346012612,0.342039506,0.352692856
"a6db2d87f1e7a32216e5041a1920f12e",0.409888446,0.307207759,0.361051581,0.317657824,0.354227707,0.336590547,0.417868021,0.296242985,0,0.578870218,0.473499895,0.376309841,0.38680501,0.348028524,0.360058983,0.362960562,0.342216676,0.455819851,0.480593639,0.476620533,0.487273883
"f1e34308d952529287ada31976faec95",0.518079518,0.428493479,0.482337301,0.438943544,0.475513427,0.457876267,0.539153741,0.444289191,0.578870218,0,0.293484083,0.430534943,0.441030112,0.402253626,0.414284085,0.417185664,0.396441778,0.510044953,0.534818741,0.564267359,0.574920709
