,.id,OTU,log2FoldChange,p,padj,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain,density_min,density_max,sparsity_threshold,sparsity_apply,l2fc_threshold,Treatment,timepoint,Incorp,Good
203,(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45'),1583d8af9fd9cb078f88c0e1a8b8a888,1.718326722,2.30E-05,0.000150313,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,Ambiguous_taxa,1583d8af9fd9cb078f88c0e1a8b8a888,1.768,1.785,0.25,all,0.25,15MC2,240,TRUE,NO
167,(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45'),1e104b993416995498346089f57fd3bf,2.308237374,1.49E-20,4.15E-19,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,1e104b993416995498346089f57fd3bf,1.768,1.785,0.2,all,0.25,14MC2,120,TRUE,NO
132,(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45'),21d05aac8070d05f493325ca352fde48,4.405024165,0.086860557,0.343239296,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola sp. YS 1.2.4,21d05aac8070d05f493325ca352fde48,1.775,1.795,0.25,all,0.25,12MC2,72,TRUE,NO
225,(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45'),2bb6b66b5872ff20a6ee6f12a8bb21b9,9.702344647,3.69E-15,3.62E-14,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,,,2bb6b66b5872ff20a6ee6f12a8bb21b9,1.768,1.785,0.25,all,0.25,15MC2,240,TRUE,NO
187,(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45'),740d9b2ea5713119fec5849936b9128b,0.668915436,0.0840537,0.301392553,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Ferrovibrio,Ambiguous_taxa,740d9b2ea5713119fec5849936b9128b,1.785,1.807,0.2,all,0.25,14MC2,120,TRUE,No
230,(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45'),7a4067bb733ba1b9dccbe34f15d4662d,10.99294703,1.63E-17,1.98E-16,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Denitratisoma,uncultured bacterium,7a4067bb733ba1b9dccbe34f15d4662d,1.768,1.785,0.25,all,0.25,15MC2,240,TRUE,No
231,(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45'),8a37f09de6e1b34a1825a0fa7d7df873,11.81613214,8.13E-20,1.09E-18,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Denitratisoma,uncultured bacterium,8a37f09de6e1b34a1825a0fa7d7df873,1.768,1.785,0.25,all,0.25,15MC2,240,TRUE,No
245,(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45'),d40d89b5dcf64f7918b4d54234b2f2d6,5.735459255,0.066976757,0.247522798,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,d40d89b5dcf64f7918b4d54234b2f2d6,1.778,1.801,0.25,all,0.25,15MC2,240,TRUE,No
47,(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45'),e416d0916760d2fc17b616e2ac3ad855,0.688947981,0.087872255,0.425014782,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,e416d0916760d2fc17b616e2ac3ad855,1.795,1.813,0.2,all,0.25,9MC2,24,TRUE,No
45,(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45'),07eb166d091e1aebe641105881f4f2d3,0.060547916,0.714513054,1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Zoogloea,,07eb166d091e1aebe641105881f4f2d3,1.795,1.813,0.2,all,0.25,9MC2,24,FALSE,No
