"",".id","OTU","log2FoldChange","p","padj","Kingdom","Phyla","Class","Order","Family","Genus","Species","Strain","density_min","density_max","sparsity_threshold","sparsity_apply","l2fc_threshold"
"1","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","529768d439b63fc1fd2991f7c6ea2071",-0.917586393576567,0.986304601747586,1,"Bacteria","","","","","","","529768d439b63fc1fd2991f7c6ea2071",1.768,1.785,0.15,"all",0.25
"2","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","1583d8af9fd9cb078f88c0e1a8b8a888",0.4190342702114,0.111121591157553,0.538177117959127,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter","Ambiguous_taxa","1583d8af9fd9cb078f88c0e1a8b8a888",1.768,1.785,0.15,"all",0.25
"3","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","b75e2ef0e905fa22619b60098e918ee3",0.405940652912481,0.465378530635444,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","b75e2ef0e905fa22619b60098e918ee3",1.768,1.785,0.15,"all",0.25
"4","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","936f76885e2ff79dde9adf042e7d4617",0.968227374076641,0.19564511272503,0.819056658357331,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","936f76885e2ff79dde9adf042e7d4617",1.768,1.785,0.15,"all",0.25
"5","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","d94c20c00db235bb6fccc68f06f100c7",2.10199915153505,0.00550025779873638,0.0438246347189641,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","d94c20c00db235bb6fccc68f06f100c7",1.768,1.785,0.15,"all",0.25
"6","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","740d9b2ea5713119fec5849936b9128b",-0.116249957110866,0.910406572807491,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio","Ambiguous_taxa","740d9b2ea5713119fec5849936b9128b",1.768,1.785,0.15,"all",0.25
"7","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","ca2b23c1b70c9034ea6412255f88eb7f",-1.36911695868869,0.991928440593025,1,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax","Ambiguous_taxa","ca2b23c1b70c9034ea6412255f88eb7f",1.768,1.785,0.15,"all",0.25
"8","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","63413adbe8227f80412e824dffac1f5a",-0.530686338141352,0.999999546941128,1,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group","uncultured bacterium","uncultured bacterium","63413adbe8227f80412e824dffac1f5a",1.768,1.785,0.15,"all",0.25
"9","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","83c246c4ed456dea2a15d054f16009b3",2.10128425588771,3.10549031251103e-17,2.55685369063409e-15,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea","","83c246c4ed456dea2a15d054f16009b3",1.768,1.785,0.15,"all",0.25
"10","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","7af6ae689696e9ea838fbb88ee9afb78",2.06245970758616,0.205395251240267,0.83168241075977,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Dechloromonas","","7af6ae689696e9ea838fbb88ee9afb78",1.768,1.785,0.15,"all",0.25
"11","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","1e104b993416995498346089f57fd3bf",-0.434775919220372,0.995151153286479,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilus","","1e104b993416995498346089f57fd3bf",1.768,1.785,0.15,"all",0.25
"12","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","137dc661fa672b506fd805198510edf9",-0.877117345371359,0.999928656222513,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ampullimonas","Ambiguous_taxa","137dc661fa672b506fd805198510edf9",1.768,1.785,0.15,"all",0.25
