"",".id","OTU","log2FoldChange","p","padj","Kingdom","Phyla","Class","Order","Family","Genus","Species","Strain","density_min","density_max","sparsity_threshold","sparsity_apply","l2fc_threshold"
"1","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","529768d439b63fc1fd2991f7c6ea2071",-0.781743772548446,0.971000292580375,1,"Bacteria","","","","","","","529768d439b63fc1fd2991f7c6ea2071",1.768,1.785,0.3,"all",0.25
"2","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","aca28e4f440b01d56bc951ba98270a87",-0.00127757011926922,0.526308217048174,1,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","","aca28e4f440b01d56bc951ba98270a87",1.768,1.785,0.3,"all",0.25
"3","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","36dae39c87c9e05e2a808f08e5b671ce",-2.38543438259724,0.790587000696599,1,"Bacteria","Planctomycetes","vadinHA49","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","36dae39c87c9e05e2a808f08e5b671ce",1.768,1.785,0.3,"all",0.25
"4","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","0893f5bbbc8d21217aa590338706fe49",-0.824484228558831,0.679136541683315,1,"Bacteria","Planctomycetes","OM190","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","0893f5bbbc8d21217aa590338706fe49",1.768,1.785,0.3,"all",0.25
"5","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","1c2b8892a0d7f828d72808cd01cfd199",0.290294035508134,0.476059343409022,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","","1c2b8892a0d7f828d72808cd01cfd199",1.768,1.785,0.3,"all",0.25
"6","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","1583d8af9fd9cb078f88c0e1a8b8a888",0.541769005069874,0.0788005142154695,0.506574734242304,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter","Ambiguous_taxa","1583d8af9fd9cb078f88c0e1a8b8a888",1.768,1.785,0.3,"all",0.25
"7","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","39986346b95627054f6d759b856ea132",0.718632023688528,0.441868670741986,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","39986346b95627054f6d759b856ea132",1.768,1.785,0.3,"all",0.25
"8","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","2461a8cf82261ae32270bfb8a9e60b2e",0.808057332958696,0.43264893098688,1,"Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","","","","2461a8cf82261ae32270bfb8a9e60b2e",1.768,1.785,0.3,"all",0.25
"9","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","b75e2ef0e905fa22619b60098e918ee3",0.625509371209586,0.403262020374726,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","b75e2ef0e905fa22619b60098e918ee3",1.768,1.785,0.3,"all",0.25
"10","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","936f76885e2ff79dde9adf042e7d4617",1.11742621366527,0.248920417984761,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","936f76885e2ff79dde9adf042e7d4617",1.768,1.785,0.3,"all",0.25
"11","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","d94c20c00db235bb6fccc68f06f100c7",2.27512851927593,0.0502150310778341,0.376612733083756,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum","","d94c20c00db235bb6fccc68f06f100c7",1.768,1.785,0.3,"all",0.25
"12","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","740d9b2ea5713119fec5849936b9128b",-0.00612571821503138,0.82523118750286,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio","Ambiguous_taxa","740d9b2ea5713119fec5849936b9128b",1.768,1.785,0.3,"all",0.25
"13","(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')","ca2b23c1b70c9034ea6412255f88eb7f",-1.22910346623522,0.984119814174185,1,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax","Ambiguous_taxa","ca2b23c1b70c9034ea6412255f88eb7f",1.768,1.785,0.3,"all",0.25
