"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"529768d439b63fc1fd2991f7c6ea2071",0,56,0,12,6,4,19,44,30,84,88,112,79,0,8,9,23,10,10,9,37,24,0,0,0,14,6,13,12,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,446,246,253,211,57,19,21,25,6,12
"ee279c64d4b8ca7b8abd12858f46f0b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0
"a86ffce3aa36235385c3e818fd6d55e2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"882b5b49ef18215727a0900958cdec5d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"e77c68a347f34cf3f3ec5f350d91765e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f80c80d5b3d2a65ffef83d724fc550fc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0
"780cfabe7c49025896ed05140ecd67df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7b98f85b43db30c605867cca3737a5bc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0
"9e9c4270966cf507485654eb33a69880",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60828e70a7f4f35c0badbbf562c86621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0
