,OTU,24,48,72,120,240,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain,peak
1,27af011f1ebcc0867bb168193e6a9d27,0,0,3.356575924,4.444401652,4.293893636,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,27af011f1ebcc0867bb168193e6a9d27,240
2,3e5cc4006667756b128e551a166d5861,1.24194046,0,0,1.704549282,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oceanobacter,,3e5cc4006667756b128e551a166d5861,120
3,3fa2974b1f70109275811beb1ae321c9,1.919576711,2.762862844,3.059317926,2.298139673,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudoxanthobacter,Ambiguous_taxa,3fa2974b1f70109275811beb1ae321c9,72
4,5c21f017407dbb74aea300b42e85dd30,0,2.675168265,2.667790134,0,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,uncultured Verrucomicrobia bacterium,5c21f017407dbb74aea300b42e85dd30,48
5,5ed8f8f3a98e669d81b30c56825e0870,1.691115806,2.124494095,2.924709827,5.510603249,7.85702726,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Diplosphaera,uncultured Desulfococcus sp.,5ed8f8f3a98e669d81b30c56825e0870,240
6,6310bd545c25bc818bce75d76bc259a1,0,0,4.705407006,7.384905784,5.47239362,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,metagenome,6310bd545c25bc818bce75d76bc259a1,120
7,7af6ae689696e9ea838fbb88ee9afb78,0,4.210392029,4.499979587,6.222591873,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechloromonas,,7af6ae689696e9ea838fbb88ee9afb78,120
8,801efb14d6457f799fd2becee6d07b72,1.603427733,3.048849247,4.365176644,4.900644552,4.670880372,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,uncultured,,801efb14d6457f799fd2becee6d07b72,120
9,83c246c4ed456dea2a15d054f16009b3,2.101284256,5.316159419,4.766690364,0,6.237587085,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Zoogloea,,83c246c4ed456dea2a15d054f16009b3,240
10,8b1b6b50ee8e9d52ac980948823b441f,0,0,1.863686097,2.710798941,1.433083388,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,uncultured bacterium,uncultured bacterium,8b1b6b50ee8e9d52ac980948823b441f,120
11,98f53519513214e968c569829a1471bb,0,1.363712505,1.47695197,2.622257137,4.270478423,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,98f53519513214e968c569829a1471bb,240
12,9d5fa8335722caf15c7501355831afdd,0,5.305332059,6.633525027,7.584697146,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,9d5fa8335722caf15c7501355831afdd,120
13,a5e4fa1c4fdfceff6877d2ba21ae0b91,0,0,0,5.07635328,9.326600422,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,,a5e4fa1c4fdfceff6877d2ba21ae0b91,240
14,a6db2d87f1e7a32216e5041a1920f12e,2.114095364,2.898427206,3.842122642,3.527941445,1.787419745,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,Nannocystis sp.,a6db2d87f1e7a32216e5041a1920f12e,72
15,acc9603a819dc23a606ac6c1b9105b6d,2.464052654,2.867087764,3.404587224,4.075473601,6.498343424,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,acc9603a819dc23a606ac6c1b9105b6d,240
16,b93f0c1f2e8178c7ce1d957ab357dd77,0,0,0,7.673487285,6.191347532,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,b93f0c1f2e8178c7ce1d957ab357dd77,120
17,c1d9eada909d2d5dbe078f25f1038508,0,0,2.748805378,2.778984749,2.180539651,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,c1d9eada909d2d5dbe078f25f1038508,120
18,cf3381318906e1e08f58bca905636dc0,1.077940473,1.785215302,1.796053342,2.31400723,2.58941097,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,cf3381318906e1e08f58bca905636dc0,240
19,d94c20c00db235bb6fccc68f06f100c7,2.101999152,2.418391698,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,,d94c20c00db235bb6fccc68f06f100c7,48
20,efbe1f58b1e2984ddc53a64f047d94ff,2.574860365,2.186329619,1.062897336,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,,efbe1f58b1e2984ddc53a64f047d94ff,24
21,f1e34308d952529287ada31976faec95,0,1.401958882,1.289676709,1.059122039,1.476064128,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,,f1e34308d952529287ada31976faec95,240
