"",".id","perm_id","sample.x","distance","Replicate.x","IS__CONTROL.x","BD_min.x","BD_max.x","BD_range.x","perc_overlap","n_over_fracs","wmean_dist","wmean_dist_CI_low_global","wmean_dist_CI_high_global","wmean_dist_CI_low","wmean_dist_CI_high","Treatment","BD_shift","window"
"1","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0845949481746326,1,TRUE,1.746,1.757,0.0109999999999999,63.6363636363633,2,0.0820834759520791,0.00990495952841973,0.0389948649831511,0.023303763407022,0.03921746998121,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"2","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.0845983396199993,1,TRUE,1.757,1.764,0.00700000000000012,100,1,0.0845983396199993,0.00990495952841973,0.0389948649831511,0.0127774086997077,0.0264583632482063,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"3","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.099329967452703,1,TRUE,1.764,1.775,0.0109999999999999,63.6363636363633,2,0.0989173187367161,0.00990495952841973,0.0389948649831511,0.018355151946782,0.0389786130575932,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"4","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.0865691397201085,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.0865691397201085,0.00990495952841973,0.0389948649831511,0.0217362823689177,0.0339560817303476,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"5","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.0818361821524316,1,TRUE,1.778,1.785,0.0069999999999999,42.857142857142,2,0.0828026932873415,0.00990495952841973,0.0389948649831511,0.0101334081578516,0.0237459382716294,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"6","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.0940707767078881,1,TRUE,1.785,1.795,0.01,69.9999999999989,2,0.0912146245461255,0.00990495952841973,0.0389948649831511,0.00608858319959244,0.0334482637808467,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"7","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.0737345761275851,1,TRUE,1.795,1.801,0.00600000000000001,100,1,0.0737345761275851,0.00990495952841973,0.0389948649831511,0.0171578625921166,0.0486949263973826,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"8","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.0894949194672177,1,TRUE,1.801,1.807,0.00600000000000001,49.9999999999982,2,0.0858655662269151,0.00990495952841973,0.0389948649831511,0.00862531839711347,0.0371675684794164,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"9","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.0944920031545535,1,TRUE,1.807,1.813,0.00600000000000001,66.6666666666667,1,0.0944920031545535,0.00990495952841973,0.0389948649831511,0.0189682830817648,0.0379587305190818,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"10","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0952634701049311,1,TRUE,1.746,1.757,0.0109999999999999,27.2727272727265,2,0.0869931580374983,0.0109617050997283,0.0380895784773733,0.0229041052084237,0.0403833781375084,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
