"",".id","perm_id","sample.x","distance","Replicate.x","IS__CONTROL.x","BD_min.x","BD_max.x","BD_range.x","perc_overlap","n_over_fracs","wmean_dist","wmean_dist_CI_low_global","wmean_dist_CI_high_global","wmean_dist_CI_low","wmean_dist_CI_high","Treatment","BD_shift","window"
"1","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0845949481746326,1,TRUE,1.746,1.757,0.0109999999999999,63.6363636363633,2,0.0820834759520791,0.0505101843922082,0.0911485063647856,0.0902673468955296,0.0918139595036944,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"2","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.0845983396199993,1,TRUE,1.757,1.764,0.00700000000000012,100,1,0.0845983396199993,0.0505101843922082,0.0911485063647856,0.0768892620220721,0.078602530212818,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"3","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.099329967452703,1,TRUE,1.764,1.775,0.0109999999999999,63.6363636363633,2,0.0989173187367161,0.0505101843922082,0.0911485063647856,0.0767899415247151,0.0781494576113021,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"4","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.0865691397201085,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.0865691397201085,0.0505101843922082,0.0911485063647856,0.066484074183668,0.0685384617441052,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"5","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.0818361821524316,1,TRUE,1.778,1.785,0.0069999999999999,42.857142857142,2,0.0828026932873415,0.0505101843922082,0.0911485063647856,0.0604449901319661,0.0617507009345589,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"6","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.0940707767078881,1,TRUE,1.785,1.795,0.01,69.9999999999989,2,0.0912146245461255,0.0505101843922082,0.0911485063647856,0.0624853924687645,0.0637770380298085,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"7","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.0737345761275851,1,TRUE,1.795,1.801,0.00600000000000001,100,1,0.0737345761275851,0.0505101843922082,0.0911485063647856,0.0495271993700566,0.0512452191849709,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"8","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.0894949194672177,1,TRUE,1.801,1.807,0.00600000000000001,49.9999999999982,2,0.0858655662269151,0.0505101843922082,0.0911485063647856,0.0651944289675579,0.0672675943866807,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"9","(Treatment=='11MC2' & TP=='48.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.0944920031545535,1,TRUE,1.807,1.813,0.00600000000000001,66.6666666666667,1,0.0944920031545535,0.0505101843922082,0.0911485063647856,0.0756236771627918,0.0793167004348763,"(Treatment=='11MC2' & TP=='48.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"10","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0952634701049311,1,TRUE,1.746,1.757,0.0109999999999999,27.2727272727265,2,0.0869931580374983,0.0816430429457269,0.11923115807385,0.118426860622504,0.119900428526523,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
